Title,Director,Certificate,Runtime,Genre,IMDb Rating,Gross,Votes,Metascore
Dune,Denis Villeneuve,PG-13,155 min,"Action, Adventure, Drama",8.1,0,563011,74
Titane,Julia Ducournau,R,108 min,"Drama, Horror, Sci-Fi",6.6,0,38698,75
Mass,Fran Kranz,PG-13,111 min,Drama,7.6,0,11542,81
Spider-Man: No Way Home,Jon Watts,PG-13,148 min,"Action, Adventure, Fantasy",8.4,0,624143,71
The Suicide Squad,James Gunn,R,132 min,"Action, Adventure, Comedy",7.2,0,327224,72
Nightmare Alley,Guillermo del Toro,R,150 min,"Crime, Drama, Thriller",7.1,0,119803,70
Licorice Pizza,Paul Thomas Anderson,R,133 min,"Comedy, Drama, Romance",7.3,0,80023,90
The Last Duel,Ridley Scott,R,152 min,"Action, Drama, History",7.4,0,138580,67
A Quiet Place Part II,John Krasinski,PG-13,97 min,"Drama, Horror, Sci-Fi",7.2,160.07,207471,71
The Killing of Two Lovers,Robert Machoian,R,85 min,Drama,6.9,0,3899,82
The Eyes of Tammy Faye,Michael Showalter,PG-13,126 min,"Biography, Drama, Romance",6.6,0,26831,55
Last Night in Soho,Edgar Wright,R,116 min,"Drama, Horror, Mystery",7.1,0,102559,65
Being the Ricardos,Aaron Sorkin,R,131 min,"Biography, Drama",6.5,0,38592,60
The Power of the Dog,Jane Campion,R,126 min,"Drama, Romance, Western",6.9,0,158416,89
The Guilty,Antoine Fuqua,R,90 min,"Crime, Drama, Thriller",6.3,0,113500,63
Nine Days,Edson Oda,R,124 min,"Drama, Fantasy",6.8,0,7308,72
The Tender Bar,George Clooney,R,106 min,Drama,6.7,0,24662,53
The Many Saints of Newark,Alan Taylor,R,120 min,"Crime, Drama",6.3,0,49268,60
Zola,Janicza Bravo,R,86 min,"Comedy, Crime, Drama",6.5,0,12612,76
Army of the Dead,Zack Snyder,R,148 min,"Action, Crime, Horror",5.7,1.00,166857,57
Don't Look Up,Adam McKay,R,138 min,"Comedy, Drama, Sci-Fi",7.2,0,498540,49
"tick, tick... BOOM!",Lin-Manuel Miranda,PG-13,120 min,"Biography, Drama, Musical",7.5,0,96435,74
Luca,Enrico Casarosa,PG,95 min,"Animation, Adventure, Comedy",7.4,0,149159,71
King Richard,Reinaldo Marcus Green,PG-13,144 min,"Biography, Drama, Sport",7.5,0,91018,76
The Harder They Fall,Jeymes Samuel,R,139 min,"Action, Drama, Western",6.5,0,57535,68
No Time to Die,Cary Joji Fukunaga,PG-13,163 min,"Action, Adventure, Thriller",7.3,160.87,350556,68
The Card Counter,Paul Schrader,R,111 min,"Crime, Drama, Thriller",6.3,0,24700,77
The Green Knight,David Lowery,R,130 min,"Adventure, Drama, Fantasy",6.6,0,90947,85
Mainstream,Gia Coppola,R,94 min,"Comedy, Drama",4.9,0,3571,36
Spencer,Pablo Larraín,R,117 min,"Biography, Drama",6.7,0,57445,76
The Tragedy of Macbeth,Joel Coen,R,105 min,"Drama, Thriller, War",7.1,0,30467,87
Annette,Leos Carax,R,141 min,"Drama, Musical, Romance",6.3,0,18374,67
Candyman,Nia DaCosta,R,91 min,"Horror, Thriller",5.9,0,54163,72
The French Dispatch,Wes Anderson,R,107 min,"Comedy, Drama, Romance",7.2,0,104668,74
I Care a Lot,J Blakeson,R,118 min,"Comedy, Crime, Drama",6.3,0,128178,66
Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,PG-13,132 min,"Action, Adventure, Fantasy",7.4,224.54,350142,71
Free Guy,Shawn Levy,PG-13,115 min,"Action, Adventure, Comedy",7.1,121.63,335588,62
Black Widow,Cate Shortland,PG-13,134 min,"Action, Adventure, Sci-Fi",6.7,183.65,350879,67
Our Friend,Gabriela Cowperthwaite,R,124 min,"Drama, Romance",7.3,0,10859,57
Chaos Walking,Doug Liman,PG-13,109 min,"Action, Adventure, Fantasy",5.7,13.29,43800,38
Old,M. Night Shyamalan,PG-13,108 min,"Drama, Horror, Mystery",5.8,0,95694,55
Godzilla vs. Kong,Adam Wingard,PG-13,113 min,"Action, Sci-Fi, Thriller",6.3,100.92,197417,59
The Matrix Resurrections,Lana Wachowski,R,148 min,"Action, Sci-Fi",5.7,0,221737,63
The Tomorrow War,Chris McKay,PG-13,138 min,"Action, Adventure, Drama",6.5,0,195164,45
Nobody,Ilya Naishuller,R,92 min,"Action, Crime, Drama",7.4,27.27,223879,64
Reminiscence,Lisa Joy,PG-13,116 min,"Mystery, Romance, Sci-Fi",5.8,0,51252,46
The Woman in the Window,Joe Wright,R,100 min,"Crime, Drama, Mystery",5.7,0,72019,41
Barb and Star Go to Vista Del Mar,Josh Greenbaum,PG-13,107 min,Comedy,6.3,0,16703,64
Dear Evan Hansen,Stephen Chbosky,PG-13,137 min,"Drama, Musical",6.1,0,11832,39
The Mitchells vs the Machines,Michael Rianda,PG,113 min,"Animation, Adventure, Comedy",7.6,0,100787,81
