Index,Title,popularity,vote_average,vote_count,budget,Collection_name,ID,Certificate,Genre(s),Director(s)
54,Night at the Museum: Kahmunrah Rises Again,0.6,0.0,0,0,,751741,Unknown,"Animation, Comedy, Family, Fantasy",
55,Poor Things,3.683,0.0,0,0,,792307,Unknown,"Romance, Comedy, Science Fiction",Yorgos Lanthimos
56,Hotel Transylvania: Transformania,914.217,7.1,833,0,Hotel Transylvania Collection,585083,PG,"Animation, Family, Fantasy, Comedy, Adventure","Derek Drymon, Jennifer Kluska"
57,Paws of Fury: The Legend of Hank,12.732,0.0,0,0,,366672,PG,"Family, Comedy, Animation, Action","Rob Minkoff, Mark Koetsier"
58,Nightmare Alley,367.019,7.0,1612,60000000,,597208,R,"Drama, Comedy, Romance",Advait Chandan
59,Cat Person,1.444,0.0,0,0,,843394,Unknown,"Crime, Drama, Thriller",Guillermo del Toro
60,Rumble,31.773,6.9,278,0,,598331,PG,Thriller,Susanna Fogel
61,The Retirement Plan,2.679,0.0,0,0,,866346,Unknown,"Family, Comedy, Animation",Hamish Grieve
62,Newsflash,1.953,0.0,0,0,,492253,Unknown,"Comedy, Action",Tim Brown
63,The Black Phone,54.509,0.0,0,0,,756999,R,"Drama, History",Alfonso Gomez-Rejon
64,One True Loves,1.499,0.0,0,0,,846961,Unknown,"Horror, Thriller",Scott Derrickson
65,Arthur the King,2.051,3.6,5,0,,134542,Unknown,"Romance, Comedy",Andy Fickman
66,Blacklight,1059.436,6.2,345,43000000,,823625,PG-13,"TV Movie, Fantasy, Adventure",Clive Donner
67,Senior Year,38.645,6.0,2,0,,800937,R,"Action, Thriller",Mark Williams
68,Hate to See You Go,0.951,0.0,0,0,,838773,Unknown,Comedy,Alex Hardcastle
69,Triangle of Sadness,5.017,0.0,0,15600000,,497828,Unknown,,Ben Tishler
70,Me Time,3.89,0.0,0,0,,862551,Unknown,"Comedy, Drama",Ruben Östlund
