Title,Director,Certificate,Runtime,Genre,IMDb Rating,Gross,Votes,Metascore
The Lobster,Yorgos Lanthimos,R,119 min,"Comedy, Drama, Romance",7.1,8.70,247981,82
Hell or High Water,David Mackenzie,R,102 min,"Action, Crime, Drama",7.6,26.86,225160,88
Manchester by the Sea,Kenneth Lonergan,R,137 min,Drama,7.8,47.70,273872,96
Goat,Andrew Neel,R,96 min,Drama,5.7,0.02,7781,64
Captain America: Civil War,Anthony Russo,PG-13,147 min,"Action, Adventure, Sci-Fi",7.8,408.08,753309,75
Don't Breathe,Fede Alvarez,R,88 min,"Horror, Thriller",7.1,89.22,265215,71
American Honey,Andrea Arnold,R,163 min,"Adventure, Drama, Romance",7,0.66,42264,79
Arrival,Denis Villeneuve,PG-13,116 min,"Drama, Sci-Fi",7.9,100.55,669245,81
The Nice Guys,Shane Black,R,116 min,"Action, Comedy, Crime",7.3,36.26,313343,70
La La Land,Damien Chazelle,PG-13,128 min,"Comedy, Drama, Music",8,151.10,564887,94
Moonlight,Barry Jenkins,R,111 min,Drama,7.4,27.85,300417,99
Nocturnal Animals,Tom Ford,R,116 min,"Drama, Thriller",7.5,10.64,270062,67
Green Room,Jeremy Saulnier,R,95 min,"Crime, Drama, Horror",7,3.22,119683,79
War Dogs,Todd Phillips,R,114 min,"Biography, Comedy, Crime",7.1,43.03,208198,57
Rogue One: A Star Wars Story,Gareth Edwards,PG-13,133 min,"Action, Adventure, Sci-Fi",7.8,532.18,605520,65
Everybody Wants Some!!,Richard Linklater,R,117 min,Comedy,6.9,3.37,54777,83
The Accountant,Gavin O'Connor,R,128 min,"Action, Thriller",7.3,86.26,288549,51
Midnight Special,Jeff Nichols,PG-13,112 min,"Drama, Mystery, Sci-Fi",6.6,3.71,80281,76
The Founder,John Lee Hancock,PG-13,115 min,"Biography, Drama",7.2,12.79,145796,66
10 Cloverfield Lane,Dan Trachtenberg,PG-13,103 min,"Action, Drama, Horror",7.2,72.08,316448,76
Doctor Strange,Scott Derrickson,PG-13,115 min,"Action, Adventure, Fantasy",7.5,232.64,698158,72
Deadpool,Tim Miller,R,108 min,"Action, Adventure, Comedy",8,363.07,996123,65
Swiss Army Man,Dan Kwan,R,97 min,"Comedy, Drama, Fantasy",6.9,4.21,116755,64
Indignation,James Schamus,R,110 min,"Drama, Romance",6.7,3.40,12085,78
Fences,Denzel Washington,PG-13,139 min,Drama,7.2,57.64,106376,79
The VVitch: A New-England Folktale,Robert Eggers,R,92 min,"Drama, Fantasy, History",6.9,25.14,243695,83
Hacksaw Ridge,Mel Gibson,R,139 min,"Biography, Drama, History",8.1,67.21,501498,71
The Light Between Oceans,Derek Cianfrance,PG-13,133 min,"Drama, Romance",7.2,12.55,56195,60
The Conjuring 2,James Wan,R,134 min,"Horror, Mystery, Thriller",7.3,102.47,260700,65
Patriots Day,Peter Berg,R,133 min,"Action, Crime, Drama",7.3,31.89,100902,69
The Jungle Book,Jon Favreau,PG,106 min,"Adventure, Drama, Family",7.4,364.00,273338,77
Eye in the Sky,Gavin Hood,R,102 min,"Action, Drama, Thriller",7.3,18.70,85386,73
Silence,Martin Scorsese,R,161 min,"Drama, History",7.1,7.10,110638,79
Triple 9,John Hillcoat,R,115 min,"Action, Crime, Thriller",6.3,12.63,71640,52
The Girl on the Train,Tate Taylor,R,112 min,"Crime, Drama, Mystery",6.5,75.40,184503,48
"Hail, Caesar!",Ethan Coen,PG-13,106 min,"Comedy, Drama, Mystery",6.3,30.08,132937,72
Zootopia,Byron Howard,PG,108 min,"Animation, Adventure, Comedy",8,341.27,481488,78
The Birth of a Nation,Nate Parker,R,120 min,"Biography, Drama, History",6.5,15.86,21045,69
Frank & Lola,Matthew Ross,Unrated,88 min,"Crime, Drama, Romance",5.9,0,6044,56
Demolition,Jean-Marc Vallée,R,101 min,"Comedy, Drama",7,1.98,98275,49
Snowden,Oliver Stone,R,134 min,"Biography, Crime, Drama",7.3,21.59,150010,58
The Program,Stephen Frears,R,99 min,"Biography, Drama, Sport",6.5,0,17605,53
The Invitation,Karyn Kusama,Not Rated,100 min,"Drama, Horror, Mystery",6.6,0.23,105422,74
A Bigger Splash,Luca Guadagnino,R,125 min,"Drama, Music, Thriller",6.4,1.98,29678,74
Loving,Jeff Nichols,PG-13,123 min,"Biography, Drama, Romance",7,7.70,34161,79
The Phenom,Noah Buschel,Not Rated,88 min,"Drama, Sport",5.2,0,2269,66
Hunt for the Wilderpeople,Taika Waititi,PG-13,101 min,"Adventure, Comedy, Drama",7.8,5.20,127068,81
Star Trek Beyond,Justin Lin,PG-13,122 min,"Action, Adventure, Sci-Fi",7,158.85,242699,68
Billy Lynn's Long Halftime Walk,Ang Lee,R,113 min,"Action, Drama, Sport",6.2,1.72,22479,53
Sully,Clint Eastwood,PG-13,96 min,"Biography, Drama",7.4,125.07,264709,74
