Title,Director,Certificate,Runtime,Genre,IMDb Rating,Gross,Votes,Metascore
The Father,Florian Zeller,PG-13,97 min,"Drama, Mystery",8.3,0,134770,88
The Devil All the Time,Antonio Campos,R,138 min,"Crime, Drama, Thriller",7.1,0,127579,55
Promising Young Woman,Emerald Fennell,R,113 min,"Crime, Drama, Mystery",7.5,0,160207,73
Nomadland,Chloé Zhao,R,107 min,Drama,7.3,0,150820,93
Another Round,Thomas Vinterberg,Not Rated,117 min,"Comedy, Drama",7.7,0,142956,79
Minari,Lee Isaac Chung,PG-13,115 min,Drama,7.4,0,74839,89
Sound of Metal,Darius Marder,R,120 min,"Drama, Music",7.7,0,119104,82
The Call,Chung-Hyun Lee,TV-MA,112 min,"Crime, Horror, Mystery",7.1,0,29698,0
Memories of a Teenager,Lucas Santa Ana,Not Rated,97 min,"Biography, Drama, Mystery",6.5,0,786,0
The Crimes That Bind,Sebastián Schindel,TV-14,99 min,"Crime, Drama, Thriller",6.7,0,3922,0
Never Rarely Sometimes Always,Eliza Hittman,PG-13,101 min,Drama,7.4,0,26521,92
Saint Maud,Rose Glass,R,84 min,"Drama, Horror, Mystery",6.7,0,32954,83
Adu,Salvador Calvo,TV-MA,119 min,Drama,6.8,0,4857,0
Soul,Pete Docter,PG,100 min,"Animation, Adventure, Comedy",8,0,308835,83
Hillbilly Elegy,Ron Howard,R,116 min,Drama,6.7,0,41235,38
The Hater,Jan Komasa,TV-MA,135 min,"Drama, Thriller",7.1,0,14872,61
Pieces of a Woman,Kornél Mundruczó,R,126 min,Drama,7,0,47960,66
Togo,Ericson Core,PG,113 min,"Adventure, Biography, Drama",7.9,0,47063,69
The Trial of the Chicago 7,Aaron Sorkin,R,129 min,"Drama, History, Thriller",7.7,0,171038,76
I Care a Lot,J Blakeson,R,118 min,"Comedy, Crime, Drama",6.3,0,128178,66
Extraction,Sam Hargrave,R,116 min,"Action, Thriller",6.7,0,192146,56
Greenland,Ric Roman Waugh,PG-13,119 min,"Action, Drama, Sci-Fi",6.4,0,111253,64
Greyhound,Aaron Schneider,PG-13,91 min,"Action, Drama, History",7,0,92797,64
The Wretched,Brett Pierce,Not Rated,95 min,"Horror, Mystery",5.8,0,15091,61
The Hunt,Craig Zobel,R,90 min,"Action, Horror, Thriller",6.5,0,104465,50
Lady and the Tramp,Charlie Bean,PG,111 min,"Adventure, Comedy, Family",6.2,0,21008,48
Palm Springs,Max Barbakow,R,90 min,"Comedy, Fantasy, Mystery",7.4,0,148874,83
The Invisible Man,Leigh Whannell,R,124 min,"Drama, Horror, Mystery",7.1,70.41,216251,72
Freaky,Christopher Landon,R,102 min,"Comedy, Horror, Thriller",6.3,0,53906,67
The Dark and the Wicked,Bryan Bertino,Not Rated,95 min,Horror,6.1,0,15551,72
Tenet,Christopher Nolan,PG-13,150 min,"Action, Adventure, Sci-Fi",7.3,58.46,467256,69
Borat Subsequent Moviefilm,Jason Woliner,R,95 min,Comedy,6.6,0,136698,68
7500,Patrick Vollrath,R,93 min,"Action, Drama, Thriller",6.3,0,28073,58
In the Quarry,Bernardo Antonaccio,Unknown,82 min,Thriller,5.7,0,228,0
Judas and the Black Messiah,Shaka King,R,126 min,"Biography, Drama, History",7.4,0,73426,85
Host,Rob Savage,Not Rated,57 min,"Horror, Mystery",6.5,0,27532,73
Godmothered,Sharon Maguire,PG,110 min,"Comedy, Drama, Family",6.1,0,12197,49
Noelle,Marc Lawrence,G,100 min,"Adventure, Comedy, Family",6.3,0,21144,48
Young Hunter,Marco Berger,Not Rated,101 min,Drama,6.1,0,1082,0
Birds of Prey,Cathy Yan,R,109 min,"Action, Adventure, Comedy",6,84.16,228228,60
Onward,Dan Scanlon,PG,102 min,"Animation, Adventure, Comedy",7.4,61.56,141309,61
The Heist of the Century,Ariel Winograd,Unknown,114 min,"Action, Biography, Comedy",7.1,0,7650,0
Jingle Jangle: A Christmas Journey,David E. Talbert,PG,122 min,"Family, Fantasy, Musical",6.4,0,18344,69
Sonic the Hedgehog,Jeff Fowler,PG,99 min,"Action, Adventure, Comedy",6.5,148.97,126946,47
The Hunter's Silence,Martín De Salvo,Unknown,103 min,"Drama, Thriller",6.3,0,89,0
The Rental,Dave Franco,R,88 min,"Drama, Horror, Mystery",5.7,0,29191,62
Antebellum,Gerard Bush,R,105 min,"Drama, Horror, Mystery",5.7,0,25390,43
#Alive,Il Cho,TV-MA,98 min,"Action, Drama, Horror",6.3,0,37193,0
Love and Monsters,Michael Matthews,PG-13,109 min,"Action, Adventure, Comedy",6.9,1.07,120916,63
French Exit,Azazel Jacobs,R,113 min,"Comedy, Drama",5.9,0,6799,56
