Title,Director,Certificate,Runtime,Genre,IMDb Rating,Gross,Votes,Metascore
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,R,115 min,"Comedy, Crime, Drama",8.1,54.51,489788,88
Get Out,Jordan Peele,R,104 min,"Horror, Mystery, Thriller",7.7,176.04,560699,85
The Florida Project,Sean Baker,R,111 min,Drama,7.6,5.90,110850,92
John Wick: Chapter 2,Chad Stahelski,R,122 min,"Action, Crime, Thriller",7.4,92.03,414543,75
Lady Bird,Greta Gerwig,R,94 min,"Comedy, Drama",7.4,48.96,278614,93
The Shape of Water,Guillermo del Toro,R,123 min,"Drama, Fantasy, Romance",7.3,63.86,409080,87
Mother!,Darren Aronofsky,R,121 min,"Drama, Horror, Mystery",6.6,17.80,217256,75
Good Time,Benny Safdie,R,102 min,"Crime, Drama, Thriller",7.3,2.03,117645,80
Split,M. Night Shyamalan,PG-13,117 min,"Horror, Thriller",7.3,138.29,475513,62
Logan,James Mangold,R,137 min,"Action, Drama, Sci-Fi",8.1,226.28,728886,77
Call Me by Your Name,Luca Guadagnino,R,132 min,"Drama, Romance",7.8,18.10,257771,93
Brawl in Cell Block 99,S. Craig Zahler,Not Rated,132 min,"Action, Crime, Drama",7.1,0,65255,79
Star Wars: Episode VIII - The Last Jedi,Rian Johnson,PG-13,152 min,"Action, Adventure, Fantasy",6.9,620.18,611437,84
The Disaster Artist,James Franco,R,104 min,"Biography, Comedy, Drama",7.3,21.12,150786,76
Blade Runner 2049,Denis Villeneuve,R,164 min,"Action, Drama, Mystery",8,92.05,539907,81
War for the Planet of the Apes,Matt Reeves,PG-13,140 min,"Action, Adventure, Drama",7.4,146.88,249847,82
Thor: Ragnarok,Taika Waititi,PG-13,130 min,"Action, Adventure, Comedy",7.9,315.06,697287,74
Baby Driver,Edgar Wright,R,113 min,"Action, Crime, Drama",7.6,107.83,511933,86
Logan Lucky,Steven Soderbergh,PG-13,118 min,"Action, Comedy, Crime",7,27.78,146713,78
Detroit,Kathryn Bigelow,R,143 min,"Crime, Drama, History",7.3,16.79,52568,77
Ingrid Goes West,Matt Spicer,R,98 min,"Comedy, Drama",6.6,3.02,41135,71
American Made,Doug Liman,R,115 min,"Action, Comedy, Crime",7.1,51.34,174625,65
Dunkirk,Christopher Nolan,PG-13,106 min,"Action, Drama, History",7.8,188.37,631973,94
"I, Tonya",Craig Gillespie,R,119 min,"Biography, Comedy, Drama",7.5,30.01,208764,77
Wind River,Taylor Sheridan,R,107 min,"Crime, Drama, Mystery",7.7,33.80,243073,73
Spider-Man: Homecoming,Jon Watts,PG-13,133 min,"Action, Adventure, Sci-Fi",7.4,334.20,627600,73
The Big Sick,Michael Showalter,R,120 min,"Comedy, Drama, Romance",7.5,42.87,132847,86
Jumanji: Welcome to the Jungle,Jake Kasdan,PG-13,119 min,"Action, Adventure, Comedy",6.9,404.52,365064,58
Colossal,Nacho Vigalondo,R,109 min,"Comedy, Drama, Fantasy",6.2,3.02,63903,70
Wonder,Stephen Chbosky,PG,113 min,"Drama, Family",7.9,132.42,159912,66
The Killing of a Sacred Deer,Yorgos Lanthimos,R,121 min,"Drama, Horror, Mystery",7,2.29,147835,73
The Meyerowitz Stories,Noah Baumbach,TV-MA,112 min,"Comedy, Drama",6.9,0,48027,79
Battle of the Sexes,Jonathan Dayton,PG-13,121 min,"Biography, Comedy, Drama",6.7,12.64,54713,73
War Machine,David Michôd,TV-MA,122 min,"Comedy, Drama, War",6,0,46022,56
The Beguiled,Sofia Coppola,R,93 min,"Drama, Thriller, War",6.3,10.58,56982,77
It,Andy Muschietti,R,135 min,Horror,7.3,327.48,516247,69
Brad's Status,Mike White,R,102 min,"Comedy, Drama, Music",6.5,2.13,17747,71
Stronger,David Gordon Green,R,119 min,"Biography, Drama",6.9,4.21,44560,76
Patti Cake$,Geremy Jasper,R,109 min,"Drama, Music",6.8,0.80,10159,67
Guardians of the Galaxy Vol. 2,James Gunn,PG-13,136 min,"Action, Adventure, Comedy",7.6,389.81,649590,67
The Lego Batman Movie,Chris McKay,PG,104 min,"Animation, Action, Adventure",7.3,175.75,146341,75
Atomic Blonde,David Leitch,R,115 min,"Action, Thriller",6.7,51.69,189782,63
Wakefield,Robin Swicord,R,106 min,Drama,6.3,0.26,16667,62
Beauty and the Beast,Bill Condon,PG,129 min,"Adventure, Family, Fantasy",7.1,504.01,300883,65
Brigsby Bear,Dave McCary,PG-13,97 min,"Comedy, Drama",7.3,0.53,16642,67
Kong: Skull Island,Jordan Vogt-Roberts,PG-13,118 min,"Action, Adventure, Fantasy",6.6,168.05,310487,62
Alien: Covenant,Ridley Scott,R,122 min,"Horror, Sci-Fi, Thriller",6.4,74.26,274700,65
Goodbye Christopher Robin,Simon Curtis,PG,107 min,"Biography, Drama, Family",7.1,1.74,27165,54
Victoria & Abdul,Stephen Frears,PG-13,111 min,"Biography, Drama, History",6.8,22.25,35488,58
Suburbicon,George Clooney,R,105 min,"Comedy, Crime, Drama",5.7,5.78,43804,42
