Title,Director,Certificate,Runtime,Genre,IMDb Rating,Gross,Votes,Metascore
Parasite,Bong Joon Ho,R,132 min,"Comedy, Drama, Thriller",8.5,53.37,742146,96
1917,Sam Mendes,R,119 min,"Action, Drama, War",8.2,159.23,549236,78
Joker,Todd Phillips,R,122 min,"Crime, Drama, Thriller",8.4,335.45,1190235,59
Uncut Gems,Benny Safdie,R,135 min,"Crime, Drama, Thriller",7.4,0,266232,91
Midsommar,Ari Aster,R,148 min,"Drama, Horror, Mystery",7.1,27.33,286346,72
Jojo Rabbit,Taika Waititi,PG-13,108 min,"Comedy, Drama, War",7.9,0.35,367980,58
Luce,Julius Onah,R,109 min,"Drama, Mystery",6.6,1.78,12897,72
The Lighthouse,Robert Eggers,R,109 min,"Drama, Fantasy, History",7.4,0.43,200595,83
Once Upon a Time... In Hollywood,Quentin Tarantino,R,161 min,"Comedy, Drama",7.6,142.50,687220,83
Ford v Ferrari,James Mangold,PG-13,152 min,"Action, Biography, Drama",8.1,117.62,366422,81
The Irishman,Martin Scorsese,R,209 min,"Biography, Crime, Drama",7.8,7.00,371823,94
Marriage Story,Noah Baumbach,R,137 min,"Drama, Romance",7.9,2.00,294230,94
Avengers: Endgame,Anthony Russo,PG-13,181 min,"Action, Adventure, Drama",8.4,858.37,1049631,78
Under the Silver Lake,David Robert Mitchell,R,139 min,"Crime, Drama, Mystery",6.5,0.05,40959,60
The Nightingale,Jennifer Kent,R,136 min,"Adventure, Drama, Thriller",7.3,0.39,28945,77
The Art of Self-Defense,Riley Stearns,R,104 min,"Action, Comedy, Crime",6.6,2.41,36719,65
Honey Boy,Alma Har'el,R,94 min,Drama,7.2,0,36166,73
The Peanut Butter Falcon,Tyler Nilson,PG-13,97 min,"Adventure, Comedy, Drama",7.6,13.12,89481,70
Pain and Glory,Pedro Almodóvar,R,113 min,Drama,7.5,0,56946,87
The Last Black Man in San Francisco,Joe Talbot,R,121 min,Drama,7.3,4.52,18834,83
The Farewell,Lulu Wang,PG,100 min,"Comedy, Drama",7.5,16.88,62189,89
Waves,Trey Edward Shults,R,135 min,"Drama, Romance, Sport",7.5,0,24235,80
John Wick: Chapter 3 - Parabellum,Chad Stahelski,R,130 min,"Action, Crime, Thriller",7.4,171.02,326055,73
A Beautiful Day in the Neighborhood,Marielle Heller,PG,109 min,"Biography, Drama",7.3,61.70,76930,80
The Mustang,Laure de Clermont-Tonnerre,R,96 min,Drama,6.8,5.04,12526,77
Us,Jordan Peele,R,116 min,"Horror, Mystery, Thriller",6.8,175.08,274893,81
Knives Out,Rian Johnson,PG-13,130 min,"Comedy, Crime, Drama",7.9,165.36,589348,82
Toy Story 4,Josh Cooley,G,100 min,"Animation, Adventure, Comedy",7.7,434.04,238024,84
Little Women,Greta Gerwig,PG,135 min,"Drama, Romance",7.8,108.10,191225,91
Dragged Across Concrete,S. Craig Zahler,R,159 min,"Action, Crime, Drama",6.9,0,45017,60
Booksmart,Olivia Wilde,R,102 min,Comedy,7.1,22.68,113713,84
The Souvenir,Joanna Hogg,R,120 min,"Drama, Romance",6.4,1.04,12041,91
Skin,Guy Nattiv,R,118 min,"Biography, Crime, Drama",6.9,0,22883,58
Bombshell,Jay Roach,R,109 min,"Biography, Drama",6.8,0,111315,64
Hustlers,Lorene Scafaria,R,110 min,"Comedy, Crime, Drama",6.3,104.96,96491,79
Doctor Sleep,Mike Flanagan,R,152 min,"Drama, Fantasy, Horror",7.3,0,182820,59
Queen & Slim,Melina Matsoukas,R,132 min,"Crime, Drama, Romance",7.1,0,30687,74
Greener Grass,Jocelyn DeBoer,Unrated,95 min,Comedy,6.3,0,4380,69
Judy,Rupert Goold,PG-13,118 min,"Biography, Drama, Romance",6.8,0,49586,66
The King,David Michôd,R,140 min,"Biography, Drama, History",7.2,0,121797,62
Brittany Runs a Marathon,Paul Downs Colaizzo,R,104 min,"Comedy, Drama",6.8,0.22,19621,72
Ad Astra,James Gray,PG-13,123 min,"Adventure, Drama, Mystery",6.5,50.19,227037,80
Yesterday,Danny Boyle,PG-13,116 min,"Comedy, Fantasy, Music",6.8,73.29,148264,55
Dolemite Is My Name,Craig Brewer,R,118 min,"Biography, Comedy, Drama",7.2,0,59934,76
Rocketman,Dexter Fletcher,R,121 min,"Biography, Drama, Musical",7.3,96.37,169066,69
Richard Jewell,Clint Eastwood,R,131 min,"Biography, Crime, Drama",7.5,0,83489,68
The Two Popes,Fernando Meirelles,PG-13,125 min,"Biography, Comedy, Drama",7.6,0,121106,75
Spider-Man: Far from Home,Jon Watts,PG-13,129 min,"Action, Adventure, Sci-Fi",7.4,390.53,461708,69
Harriet,Kasi Lemmons,PG-13,125 min,"Action, Biography, Drama",6.6,0,26011,66
Triple Frontier,J.C. Chandor,R,125 min,"Action, Adventure, Crime",6.4,0,124461,61
